Informe de evolución anual. Períodos diarios,,,,,,,,,,,
Estación: Bulevard Sud Período: Año 2018,,,,,,,,,,,
"Contaminante
Fecha","SO 2
μg/m3","NO
μg/m3","NO 2
μg/m3","PM10
μg/m3","Ni
ng/m3","NO x
μg/m3","Ozono
μg/m3","As
ng/m3","Pb
μg/m3","BaP
ng/m3","Cd
ng/m3"
01-01-18,4,,,19,"9,12",,68,"0,28","0,01",,"0,08"
02-01-18,4,7,6,,,15,50,,,,
03-01-18,5,4,10,,,16,37,,,,
04-01-18,5,3,9,,,13,41,,,,
05-01-18,4,4,16,23,,21,43,,,,
06-01-18,5,8,25,18,,37,28,,,"0,1",
07-01-18,5,6,18,12,"6,61",27,44,"0,14","0,01",,"0,03"
08-01-18,6,22,36,28,"5,22",70,21,"0,42","0,01",,"0,38"
09-01-18,4,6,19,15,,28,35,,,,
10-01-18,3,5,16,12,,23,47,,,,
11-01-18,4,5,18,12,"4,87",26,53,"0,01","0,01",,"0,01"
12-01-18,5,9,28,15,,42,32,,,,
13-01-18,5,8,27,22,"6,67",39,30,"0,28","0,01",,"0,13"
14-01-18,5,12,21,,,40,45,,,,
15-01-18,6,12,27,,,45,33,,,,
16-01-18,4,3,14,14,"5,56",19,46,"0,28","0,01",,"0,04"
17-01-18,5,26,35,27,,75,29,,,,
18-01-18,6,23,40,36,"21,67",75,26,"0,42","0,01",,"0,29"
19-01-18,6,39,44,40,,103,21,,,,
20-01-18,4,6,17,16,"4,58",25,44,"0,14","0,01",,"0,06"
21-01-18,4,3,12,11,,16,48,,,,
22-01-18,5,12,25,21,"10,42",44,27,"0,28","0,01",,"0,07"
23-01-18,8,32,35,,,83,21,,,,
24-01-18,7,25,36,39,,73,22,,,,
25-01-18,4,9,26,,,39,24,,,,
26-01-18,4,11,26,,,43,29,,,,
27-01-18,4,10,20,14,,34,39,,,,
28-01-18,4,2,7,22,,10,55,,,,
29-01-18,8,46,50,,,120,25,,,,
30-01-18,9,58,60,34,,149,22,,,,
31-01-18,6,34,58,,,110,29,,,,
Días con datos,31,30,30,21,9,30,31,9,9,1,9
Promedio,5,15,26,21,"8,30",49,36,"0,25","0,01","0,10","0,12"
Fuente: Conselleria de Medio Ambiente,,,,,,,,,,,

Informe de evolución anual. Períodos diarios,,,,,,,,,,,
Estación: Bulevard Sud Período: Año 2018,,,,,,,,,,,
"Contaminante
Fecha","SO 2
μg/m3","NO
μg/m3","NO 2
μg/m3","PM10
μg/m3","Ni
ng/m3","NO x
μg/m3","Ozono
μg/m3","As
ng/m3","Pb
μg/m3","BaP
ng/m3","Cd
ng/m3"
01-02-18,6,26,50,24,"2,9",89,25,"0,28","0,01",,"0,36"
02-02-18,7,19,40,12,,69,43,,,,
03-02-18,6,7,23,7,"1,1",34,58,"0,14","0,01",,"0,04"
04-02-18,5,16,32,,,56,40,,,,
05-02-18,5,19,45,14,"4,99",74,30,"0,56","0,01",,"0,19"
06-02-18,6,19,41,7,,70,33,,,,
07-02-18,6,22,44,11,,78,36,,,"0,24",
08-02-18,6,30,43,16,"2,35",89,41,"0,28","0,01",,"0,33"
09-02-18,6,24,48,19,,84,43,,,,
10-02-18,6,9,30,10,"1,65",44,62,"0,14","0,01",,"0,01"
11-02-18,6,7,25,5,,35,50,,,,
12-02-18,6,20,47,17,,78,33,,,,
13-02-18,7,15,34,12,"2,89",57,47,"0,28","0,01",,"0,13"
14-02-18,3,4,22,10,,28,49,,,,
15-02-18,4,19,39,24,"15,67",68,35,"0,28","0,01",,"0,11"
16-02-18,8,65,58,45,,156,19,,,"0,19",
17-02-18,5,26,44,34,"5,39",84,22,"0,69","0,01",,"0,08"
18-02-18,3,10,26,13,,41,49,,,,
19-02-18,5,31,43,,,90,29,,,,
20-02-18,3,11,33,,,50,37,,,,
21-02-18,3,12,37,,,56,39,,,,
22-02-18,5,20,46,,,77,35,,,,
23-02-18,6,26,52,,,91,38,,,,
24-02-18,4,9,40,,,53,51,,,,
25-02-18,3,7,37,,,47,52,,,,
26-02-18,5,52,61,,,141,36,,,,
27-02-18,3,8,33,,,46,47,,,,
28-02-18,3,20,55,,,85,30,,,,
Días con datos,28,28,28,17,8,28,28,8,8,2,8
Promedio,5,20,40,16,"4,62",70,40,"0,33","0,01","0,22","0,16"
Fuente: Conselleria de Medio Ambiente,,,,,,,,,,,

Informe de evolución anual. Períodos diarios,,,,,,,,,,,
Estación: Bulevard Sud Período: Año 2018,,,,,,,,,,,
"Contaminante
Fecha","SO 2
μg/m3","NO
μg/m3","NO 2
μg/m3","PM10
μg/m3","Ni
ng/m3","NO x
μg/m3","Ozono
μg/m3","As
ng/m3","Pb
μg/m3","BaP
ng/m3","Cd
ng/m3"
01-03-18,3,,,37,,,23,,,,
02-03-18,3,13,41,20,,61,38,,,,
03-03-18,3,,,16,"3,18",,55,"0,14","0,01",,"0,06"
04-03-18,3,,,15,,,50,,,"0,04",
05-03-18,3,,,7,,,65,,,"0,04",
06-03-18,5,,,8,,,68,,,,
07-03-18,5,5,33,9,,41,51,,,,
08-03-18,3,16,55,19,"7,82",79,36,"0,28","0,01",,"0,14"
09-03-18,3,10,40,17,,55,46,,,,
10-03-18,3,9,33,18,"0,35",47,49,"2,5","0,01",,"0,14"
11-03-18,3,2,9,13,,12,82,,,,
12-03-18,4,3,21,10,,26,71,,,,
13-03-18,5,8,42,23,,54,49,,,"0,04",
14-03-18,3,26,62,30,"8,64",101,30,"0,42","0,01",,"0,14"
15-03-18,3,3,22,13,"4,75",27,75,"0,14","0,01",,"0,04"
16-03-18,3,4,24,9,,29,69,,,,
17-03-18,3,3,15,12,"4,19",19,73,"0,14","0,01",,"0,03"
18-03-18,3,3,24,10,,29,64,,,,
19-03-18,3,3,22,15,"5,03",26,64,"0,28","0,01",,"0,04"
20-03-18,3,7,24,10,,34,73,,,,
21-03-18,4,14,49,8,,70,61,,,"0,04",
22-03-18,3,22,57,25,"2,83",91,58,"0,28","0,01",,"0,14"
23-03-18,3,8,34,17,"3,81",46,62,"0,28","0,01",,"0,04"
24-03-18,3,4,14,12,,19,79,,,,
25-03-18,4,4,28,18,,34,65,,,,
26-03-18,4,16,49,22,,73,50,,,,
27-03-18,4,19,67,,,97,42,,,,
28-03-18,3,10,41,,,57,45,,,,
29-03-18,3,5,24,,,31,55,,,,
30-03-18,3,2,10,27,,12,88,,,,
31-03-18,3,2,14,,,17,87,,,,
Días con datos,31,26,26,27,9,26,31,9,9,4,9
Promedio,3,9,33,16,"4,51",46,59,"0,50","0,01","0,04","0,09"
Fuente: Conselleria de Medio Ambiente,,,,,,,,,,,

Informe de evolución anual. Períodos diarios,,,,,,,,,,,
Estación: Bulevard Sud Período: Año 2018,,,,,,,,,,,
"Contaminante
Fecha","SO 2
μg/m3","NO
μg/m3","NO 2
μg/m3","PM10
μg/m3","Ni
ng/m3","NO x
μg/m3","Ozono
μg/m3","As
ng/m3","Pb
μg/m3","BaP
ng/m3","Cd
ng/m3"
01-04-18,4,5,28,43,,36,72,,,,
02-04-18,4,4,36,23,"12,08",42,70,"0,28","0,01",,"0,04"
03-04-18,4,22,43,20,,78,51,,,,
04-04-18,4,3,19,13,,23,76,,,,
05-04-18,5,12,45,19,"5,56",62,58,"0,14","0,01",,"0,04"
06-04-18,4,17,46,25,,72,60,,,"0,04",
07-04-18,3,4,28,27,"0,04",35,69,"2,08","0,01",,"0,28"
08-04-18,4,2,15,7,,18,71,,,,
09-04-18,3,2,14,10,,17,86,,,,
10-04-18,5,7,36,11,"2,08",47,68,"0,14","0,01",,"0,01"
11-04-18,3,3,19,8,,24,84,,,,
12-04-18,3,3,21,10,"2,51",25,79,"0,28","0,01",,"0,03"
13-04-18,4,7,37,21,,47,76,,,,
14-04-18,4,7,39,25,,50,66,,,"0,04",
15-04-18,3,4,24,17,"2,1",30,64,"0,14","0,01",,"0,03"
16-04-18,5,5,33,12,"4,04",41,69,"0,14","0,01",,"0,03"
17-04-18,5,12,52,20,,69,54,,,,
18-04-18,5,31,68,29,,116,55,,,,
19-04-18,4,16,46,38,"18,06",70,78,"0,56","0,01",,"0,08"
20-04-18,4,8,41,38,"12,36",54,84,"0,69","0,01",,"0,1"
21-04-18,4,13,61,38,,81,53,,,,
22-04-18,4,8,55,33,,67,54,,,"0,04",
23-04-18,4,19,63,,,92,51,,,,
24-04-18,5,22,73,50,,106,53,,,,
25-04-18,5,22,70,,,104,59,,,,
26-04-18,4,20,52,,,82,49,,,,
27-04-18,5,28,61,64,,104,47,,,,
28-04-18,3,6,32,,,40,74,,,,
29-04-18,4,2,14,14,,17,82,,,,
30-04-18,4,4,24,,,30,78,,,,
Días con datos,30,30,30,25,9,30,30,9,9,3,9
Promedio,4,11,40,25,"6,54",56,66,"0,49","0,01","0,04","0,07"
Fuente: Conselleria de Medio Ambiente,,,,,,,,,,,

Informe de evolución anual. Períodos diarios,,,,,,,,,,,
Estación: Bulevard Sud Período: Año 2018,,,,,,,,,,,
"Contaminante
Fecha","SO 2
μg/m3","NO
μg/m3","NO 2
μg/m3","PM10
μg/m3","Ni
ng/m3","NO x
μg/m3","Ozono
μg/m3","As
ng/m3","Pb
μg/m3","BaP
ng/m3","Cd
ng/m3"
01-05-18,6,4,23,9,,29,83,,,"0,04",
02-05-18,3,16,67,,,90,45,22,,,
03-05-18,4,9,40,12,"2,39",54,56,"0,14","0,01",,"0,06"
04-05-18,6,10,47,21,,62,57,,,,
05-05-18,5,10,48,22,"5,86",64,53,"0,42","0,01",,"0,07"
06-05-18,4,5,38,29,,46,69,,,,
07-05-18,5,23,55,34,,90,56,,,,
08-05-18,5,22,73,39,"6,94",106,45,"0,56","0,01",,"0,18"
09-05-18,5,20,52,,,83,56,,,,
10-05-18,6,10,48,28,"8,89",63,61,"0,42","0,01",,"0,1"
11-05-18,4,12,42,34,,60,57,,,,
12-05-18,3,5,28,30,"5,69",35,69,"0,42","0,01",,"0,14"
13-05-18,4,3,18,19,,23,88,,,,
14-05-18,5,8,40,,,53,61,,,,
15-05-18,5,9,35,,,49,73,,,,
16-05-18,6,19,52,,,80,56,,,,
17-05-18,5,12,54,,,72,65,,,,
18-05-18,4,12,50,,,67,77,,,,
19-05-18,5,5,40,,,48,78,,,,
20-05-18,4,4,32,,,38,86,,,,
21-05-18,4,11,53,,,70,72,,,,
22-05-18,4,13,64,,,84,61,,,,
23-05-18,4,8,39,,,51,79,,,,
24-05-18,4,8,26,,,38,80,,,,
25-05-18,3,6,21,,,31,79,,,,
26-05-18,3,4,12,,,18,77,,,,
27-05-18,3,7,16,,,26,58,,,,
28-05-18,3,7,24,,,34,55,,,,
29-05-18,4,9,26,,,40,54,,,,
30-05-18,4,8,32,,,44,61,,,,
31-05-18,4,12,29,,,46,61,,,,
Días con datos,31,31,31,11,5,31,31,6,5,1,5
Promedio,4,10,39,25,"5,95",55,65,"3,99","0,01","0,04","0,11"
Fuente: Conselleria de Medio Ambiente,,,,,,,,,,,

Informe de evolución anual. Períodos diarios,,,,,,,,,,,
Estación: Bulevard Sud Período: Año 2018,,,,,,,,,,,
"Contaminante
Fecha","SO 2
μg/m3","NO
μg/m3","NO 2
μg/m3","PM10
μg/m3","Ni
ng/m3","NO x
μg/m3","Ozono
μg/m3","As
ng/m3","Pb
μg/m3","BaP
ng/m3","Cd
ng/m3"
01-06-18,3,8,23,22,,36,69,,,,
02-06-18,4,4,15,20,,22,65,,,"0,04",
03-06-18,3,3,6,,,9,77,,,,
04-06-18,4,7,10,9,,20,55,,,,
05-06-18,4,,,,,,66,,,,
08-06-18,4,16,41,,,66,58,,,,
09-06-18,4,8,33,,,46,64,,,,
10-06-18,4,6,20,,,29,63,,,,
11-06-18,3,6,16,,,25,60,,,,
12-06-18,4,10,28,,,43,64,,,,
13-06-18,4,8,26,,,38,81,,,,
14-06-18,4,9,32,,,47,63,,,,
15-06-18,5,15,38,,,61,57,,,,
16-06-18,4,13,27,,,46,68,,,,
17-06-18,4,8,21,,,33,61,,,,
18-06-18,6,17,37,,,63,45,,,,
19-06-18,5,18,27,,,54,48,,,,
20-06-18,5,16,32,,,56,49,,,,
21-06-18,5,12,33,,,52,57,,,,
22-06-18,3,14,35,,,56,64,,,,
23-06-18,3,6,10,,,18,80,,,,
24-06-18,4,5,10,,,18,76,,,,
25-06-18,3,11,20,,,36,63,,,,
26-06-18,3,9,17,,,31,72,,,,
27-06-18,4,9,19,,,31,71,,,,
28-06-18,4,10,20,,,35,64,,,,
29-06-18,3,,,,,,73,,,,
30-06-18,3,,,,,,74,,,,
Días con datos,28,25,25,3,0,25,28,0,0,1,0
Promedio,4,10,24,17,···,39,65,···,···,"0,04",···
Fuente: Conselleria de Medio Ambiente,,,,,,,,,,,

Informe de evolución anual. Períodos diarios,,,,,,,,,,,
Estación: Bulevard Sud Período: Año 2018,,,,,,,,,,,
"Contaminante
Fecha","SO 2
μg/m3","NO
μg/m3","NO 2
μg/m3","PM10
μg/m3","Ni
ng/m3","NO x
μg/m3","Ozono
μg/m3","As
ng/m3","Pb
μg/m3","BaP
ng/m3","Cd
ng/m3"
01-07-18,3,,,,,,65,,,,
02-07-18,3,,,,,,55,,,,
03-07-18,3,17,34,,,60,56,,,,
04-07-18,4,7,29,,,38,62,,,,
05-07-18,4,9,37,,,51,53,,,,
06-07-18,3,12,29,,,48,54,,,,
07-07-18,3,5,14,,,21,61,,,,
08-07-18,4,4,19,,,25,44,,,,
09-07-18,4,13,36,,,55,51,,,,
10-07-18,4,12,34,,,51,56,,,,
11-07-18,3,9,28,,,42,50,,,,
12-07-18,3,7,22,,,33,51,,,,
13-07-18,3,6,21,,,30,45,,,,
14-07-18,3,5,18,,,25,43,,,,
15-07-18,3,6,19,,,28,32,,,,
16-07-18,4,5,23,,,30,53,,,,
17-07-18,4,11,30,,,47,51,,,,
18-07-18,3,8,28,,,40,64,,,,
19-07-18,3,10,30,,,44,69,,,,
20-07-18,3,8,28,,,40,66,,,,
21-07-18,3,5,15,,,22,60,,,,
22-07-18,3,4,11,,,17,75,,,,
23-07-18,3,8,25,,,37,65,,,,
24-07-18,3,10,23,,,38,62,,,,
25-07-18,3,7,19,,,30,62,,,,
26-07-18,3,7,22,,,32,68,,,,
27-07-18,3,9,26,,,39,57,,,,
28-07-18,3,6,20,,,29,69,,,,
29-07-18,3,3,8,,,13,75,,,,
30-07-18,3,15,33,,,56,47,,,,
31-07-18,3,12,28,,,46,44,,,,
Días con datos,31,29,29,0,0,29,31,0,0,0,0
Promedio,3,8,24,···,···,37,57,···,···,···,···
Fuente: Conselleria de Medio Ambiente,,,,,,,,,,,

Informe de evolución anual. Períodos diarios,,,,,,,,,,,
Estación: Bulevard Sud Período: Año 2018,,,,,,,,,,,
"Contaminante
Fecha","SO 2
μg/m3","NO
μg/m3","NO 2
μg/m3","PM10
μg/m3","Ni
ng/m3","NO x
μg/m3","Ozono
μg/m3","As
ng/m3","Pb
μg/m3","BaP
ng/m3","Cd
ng/m3"
01-08-18,3,17,33,,,60,43,,,,
02-08-18,4,22,48,,,83,41,,,,
03-08-18,4,14,38,,,59,52,,,,
04-08-18,3,5,35,,,42,55,,,,
05-08-18,4,4,20,,,26,98,,,,
06-08-18,4,11,39,,,57,79,,,,
07-08-18,4,8,30,,,41,72,,,,
08-08-18,4,8,30,,,43,46,,,,
09-08-18,3,9,20,,,34,47,,,,
10-08-18,3,5,10,,,18,60,,,,
11-08-18,3,4,12,,,18,57,,,,
12-08-18,3,5,11,,,19,46,,,,
13-08-18,3,6,19,,,27,61,,,,
14-08-18,3,6,15,,,24,45,,,,
15-08-18,3,3,8,,,13,45,,,,
16-08-18,3,7,38,,,50,41,,,,
17-08-18,3,5,23,,,31,73,,,,
18-08-18,3,4,16,,,22,59,,,,
19-08-18,3,3,20,,,25,57,,,,
20-08-18,3,9,34,,,48,70,,,,
21-08-18,4,14,45,,,66,76,,,,
22-08-18,3,8,44,,,56,85,,,,
23-08-18,3,11,46,,,63,71,,,,
24-08-18,3,11,38,,,54,69,,,,
25-08-18,3,6,24,,,32,62,,,,
26-08-18,3,4,16,,,23,72,,,,
27-08-18,3,6,23,,,31,50,,,,
28-08-18,3,6,24,,,32,52,,,,
29-08-18,3,8,23,,,35,48,,,,
30-08-18,3,8,23,,,35,49,,,,
31-08-18,3,7,23,,,34,57,,,,
Días con datos,31,31,31,0,0,31,31,0,0,0,0
Promedio,3,8,27,···,···,39,59,···,···,···,···
Fuente: Conselleria de Medio Ambiente,,,,,,,,,,,

Informe de evolución anual. Períodos diarios,,,,,,,,,,,
Estación: Bulevard Sud Período: Año 2018,,,,,,,,,,,
"Contaminante
Fecha","SO 2
μg/m3","NO
μg/m3","NO 2
μg/m3","PM10
μg/m3","Ni
ng/m3","NO x
μg/m3","Ozono
μg/m3","As
ng/m3","Pb
μg/m3","BaP
ng/m3","Cd
ng/m3"
01-09-18,3,,,,,,62,,,,
02-09-18,3,,,,,,64,,,,
03-09-18,3,,,,,,45,,,,
04-09-18,3,,,,,,54,,,,
05-09-18,3,11,39,,,56,43,,,,
06-09-18,3,9,33,,,46,48,,,,
07-09-18,3,,,,,,58,,,,
08-09-18,3,,,,,,44,,,,
09-09-18,3,,,,,,51,,,,
10-09-18,3,,,,,,54,,,,
11-09-18,3,,,,,,43,,,,
12-09-18,3,17,42,,,68,61,,,,
13-09-18,3,18,45,,,73,58,,,,
14-09-18,4,19,48,,,76,60,,,,
15-09-18,3,7,44,,,55,65,,,,
16-09-18,3,7,34,,,45,59,,,,
17-09-18,3,19,50,,,79,46,,,,
18-09-18,3,23,50,,,85,48,,,,
19-09-18,3,13,50,,,71,45,,,,
20-09-18,3,27,54,,,96,42,,,,
21-09-18,3,27,66,,,108,51,,,,
22-09-18,3,14,50,,,71,63,,,,
23-09-18,3,9,47,,,61,63,,,,
24-09-18,3,25,49,,,88,39,,,,
26-09-18,4,8,24,,,36,78,,,,
27-09-18,3,10,33,,,49,,,,,
28-09-18,4,26,55,,,95,,,,,
29-09-18,4,12,47,,,65,,,,,
30-09-18,4,10,35,,,50,,,,,
Días con datos,29,20,20,0,0,20,25,0,0,0,0
Promedio,3,16,45,···,···,69,54,···,···,···,···
Fuente: Conselleria de Medio Ambiente,,,,,,,,,,,

Informe de evolución anual. Períodos diarios,,,,,,,,,,,
Estación: Bulevard Sud Período: Año 2018,,,,,,,,,,,
"Contaminante
Fecha","SO 2
μg/m3","NO
μg/m3","NO 2
μg/m3","PM10
μg/m3","Ni
ng/m3","NO x
μg/m3","Ozono
μg/m3","As
ng/m3","Pb
μg/m3","BaP
ng/m3","Cd
ng/m3"
01-10-18,4,26,47,,,86,,,,,
02-10-18,5,18,53,,,80,,,,,
03-10-18,6,31,63,,,111,,,,,
04-10-18,6,23,57,,,93,,,,,
05-10-18,5,15,53,,,76,,,,,
06-10-18,4,9,40,,,54,,,,,
07-10-18,4,8,20,,,32,,,,,
08-10-18,4,13,30,,,51,,,,,
09-10-18,5,6,24,,,33,,,,,
10-10-18,4,27,53,,,94,,,,,
11-10-18,4,43,54,,,120,,,,,
12-10-18,4,16,35,,,60,38,,,,
13-10-18,3,8,27,,,39,45,,,,
14-10-18,4,7,18,,,29,45,,,,
15-10-18,4,8,28,,,40,44,,,,
16-10-18,4,22,37,,,71,44,,,,
17-10-18,5,18,49,,,76,39,,,,
18-10-18,3,24,53,,,88,19,,,,
19-10-18,4,16,48,,,73,33,,,,
20-10-18,4,6,23,,,33,63,,,,
21-10-18,6,10,34,,,50,63,,,,
22-10-18,4,37,47,,,103,39,,,,
23-10-18,5,33,64,,,114,28,,,,
24-10-18,5,47,59,,,131,27,,,,
25-10-18,7,74,75,,,189,18,,,,
26-10-18,7,65,82,,,182,16,,,,
27-10-18,3,13,33,,,52,34,,,,
28-10-18,4,8,14,,,26,48,,,,
29-10-18,5,9,25,,,38,49,,,,
30-10-18,4,20,47,,,77,33,,,,
31-10-18,4,7,21,,,33,46,,,,
Días con datos,31,31,31,0,0,31,20,0,0,0,0
Promedio,5,22,42,···,···,75,39,···,···,···,···
Fuente: Conselleria de Medio Ambiente,,,,,,,,,,,

Informe de evolución anual. Períodos diarios,,,,,,,,,,,
Estación: Bulevard Sud Período: Año 2018,,,,,,,,,,,
"Contaminante
Fecha","SO 2
μg/m3","NO
μg/m3","NO 2
μg/m3","PM10
μg/m3","Ni
ng/m3","NO x
μg/m3","Ozono
μg/m3","As
ng/m3","Pb
μg/m3","BaP
ng/m3","Cd
ng/m3"
01-11-18,5,30,48,,,93,27,,,,
02-11-18,5,63,55,,,151,15,,,,
03-11-18,5,33,44,,,95,31,,,,
04-11-18,6,30,45,,,90,30,,,,
05-11-18,5,50,44,,,120,25,,,,
06-11-18,4,5,12,,,19,64,,,,
07-11-18,5,7,20,,,31,52,,,,
08-11-18,4,28,45,,,88,26,,,,
09-11-18,3,7,22,,,32,52,,,,
10-11-18,4,5,11,,,18,58,,,,
11-11-18,4,10,26,,,41,48,,,,
12-11-18,4,33,43,,,93,24,,,,
13-11-18,4,,,,,,28,,,,
14-11-18,4,,,,,,40,,,,
16-11-18,3,34,67,,,120,26,,,,
17-11-18,4,16,47,24,,71,40,,,,
18-11-18,4,11,37,,,53,52,,,,
19-11-18,4,22,45,,,78,45,,,,
20-11-18,4,9,26,10,,40,38,,,,
21-11-18,4,39,44,,,105,37,,,,
22-11-18,6,73,64,,,175,15,,,,
23-11-18,5,33,40,20,,90,20,,,,
24-11-18,4,12,30,,,49,36,,,,
25-11-18,4,6,8,7,,17,65,,,,
26-11-18,4,11,22,,,38,58,,,,
27-11-18,5,13,37,,,57,35,,,,
28-11-18,7,64,62,,,160,23,,,,
29-11-18,7,85,68,,,199,18,,,,
30-11-18,5,11,38,,,55,41,,,,
Días con datos,29,27,27,4,0,27,29,0,0,0,0
Promedio,5,27,39,15,···,81,37,···,···,···,···
Fuente: Conselleria de Medio Ambiente,,,,,,,,,,,

Informe de evolución anual. Períodos diarios,,,,,,,,,,,
Estación: Bulevard Sud Período: Año 2018,,,,,,,,,,,
"Contaminante
Fecha","SO 2
μg/m3","NO
μg/m3","NO 2
μg/m3","PM10
μg/m3","Ni
ng/m3","NO x
μg/m3","Ozono
μg/m3","As
ng/m3","Pb
μg/m3","BaP
ng/m3","Cd
ng/m3"
01-12-18,5,15,38,15,"1,79",61,35,"0,42","0,01",,"0,06"
02-12-18,5,17,39,19,,65,31,,,,
03-12-18,7,60,54,32,,146,25,,,,
04-12-18,7,67,57,33,"5,54",159,14,"0,69","0,01",,"0,33"
05-12-18,8,109,55,49,,221,14,,,,
06-12-18,5,53,45,35,"3,18",127,15,"0,83","0,01",,"0,22"
07-12-18,6,54,43,35,,126,17,,,,
08-12-18,5,32,36,,,85,22,,,,
09-12-18,5,18,31,15,"1,51",58,22,"0,28","0,01",,"0,07"
10-12-18,7,50,48,33,"2,62",125,25,"0,56","0,01",,"0,39"
11-12-18,7,54,47,41,,130,14,,,,
12-12-18,4,15,25,27,,48,26,,,,
13-12-18,4,6,21,,,30,45,,,,
14-12-18,4,6,22,13,,31,51,,,,
15-12-18,4,3,11,11,,16,48,,,,
16-12-18,4,2,4,,,6,60,,,,
17-12-18,5,39,40,,,98,33,,,,
18-12-18,5,40,46,26,,106,16,,,,
19-12-18,5,9,26,,,40,40,,,,
20-12-18,4,15,31,,,54,26,,,,
21-12-18,4,13,25,10,,45,25,,,,
22-12-18,4,6,16,,,24,28,,,,
23-12-18,5,17,20,16,,46,21,,,,
24-12-18,7,54,40,,,122,13,,,,
25-12-18,5,13,18,,,37,18,,,,
26-12-18,4,27,40,28,,81,15,,,,
27-12-18,5,64,61,,,160,13,,,,
28-12-18,4,24,50,25,,86,12,,,,
29-12-18,4,28,44,,,86,13,,,,
30-12-18,4,29,43,24,,86,13,,,,
31-12-18,4,35,56,,,110,13,,,,
Días con datos,31,31,31,19,5,31,31,5,5,0,5
Promedio,5,31,37,26,"2,93",84,25,"0,56","0,01",···,"0,21"
Fuente: Conselleria de Medio Ambiente,,,,,,,,,,,
